2012, Swimming, Netherlands, gold, 1
2008, Swimming, Japan, silver, 3
2016, Volleyball, Germany, silver, 1
2004, Tennis, Finland, gold, 6
2012, Tennis, Sweden, bronze, 1
2016, Tennis, China, silver, 6
2016, Athletics, Norway, bronze, 0
2004, Rowing, China, bronze, 0
2016, Cycling, Russia, gold, 3
2012, Volleyball, Denemark, silver, 6
2004, Synchronized Swimming, Japan, bronze, 5
2012, Football / Soccer, Czechoslovakia, bronze, 2
2016, Football / Soccer, Russia, silver, 5
8, Gymnastics, Bulgaria, silver, 3
2004, Tennis, Austria, bronze, 6
2004, Football / Soccer, Soviet Union, silver, 2
2008, Athletics, Canada, bronze, 0
2016, Gymnastics, Bulgaria, gold, 3
2008, Tennis, Belgium, silver, 6
2008, Gymnastics, Sweden, gold, 1
2016, Rowing, United States, s, 0
2008, Gymnastics, Germany, gold, 6
2016, Tennis, Australia, silver, 2
2004, Cycling, Norway, bronze, 3
2004, Swimming, China, silver, 5
2004, Gymnastics, Sweden, bronze, 0
212, Tennis, Austria, bronze, 1
2008, Rowing, Romania, silver, 2
2016, Football / Soccer, Finland, bronze, 0
2016, Gymnastics, Czechoslovakia, gold, 2
2012, Athletics, Austria, gold, 5
2004, Tennis, East Germany, silver, 1
2012, Rowing, Denemark, silver, 1
2012, Rowing, Bulgaria, silver, 5
2004, Athletics, China, bronze, 3
2016, Gymnastics, West Germany, bronze, 2
2004, Football / Soccer, South Korea, bronze, 0
2012, Rowing, Sweden, silver, 0
2008, Swimming, Austria, g, 3
2004, Volleyball, Finland, silver, 4
2012, Synchronized Swimming, Great Britain, g, 0
2012, Cycling, Czechoslovakia, silver, 5
2012, Volleyball, Austria, gold, 5
2016, Cycling, Belgium, gold, 6
2008, Cycling, United States, bronze, 0
2008, Modern Pentathlon, Denemark, gold, 5
2004, Rowing, Great Britain, silver, 6
2004, Football / Soccer, Denemark, gold, 6
2012, Tennis, Hungary, silver, 1
2008, Football / Soccer, Romania, silver, 5
2004, Synchronized Swimming, Russia, bronze, 0
2016, Rowing, Finland, bronze, 1
2004, Cycling, Canada, silver, 0
2016, Football / Soccer, Belgium, silver, 4
2004, Synchronized Swimming, Romania, bronze, 6
2008, Tennis, Netherlands, silver, 4
2012, Gymnastics, Soviet Union, bronze, 0
2016, Swimming, Denemark, gold, 2
2008, Volleyball, Belgium, gold, 2
2004, Swimming, East Germany, silver, 2
2008, Rowing, Soviet Union, silver, 0
2008, Synchronized Swimming, Commonwealth of Independent States, gold, 2
2012, Modern Pentathlon, Great Britain, silver, 0
2012, Swimming, South Korea, gold, 1
2008, Volleyball, Russia, silver, 4
2016, Rowing, Australia, silver, 5
2008, Synchronized Swimming, United States, gold, 2
2012, Swimming, Austria, gold, 4
2012, Volleyball, Belgium, gold, 4
2016, Modern Pentathlon, Italy, silver, 1
2004, Swimming, Belgium, gold, 3
2008, Gymnastics, Romania, silver, 1
2016, Tennis, Finland, silver, 4
2012, Gymnastics, Finland, silver, 5
2008, Football / Soccer, Norway, gold, 3
2016, Tennis, Soviet Union, silver, 0
2008, Cycling, Cuba, silver, 3
2016, Cycling, China, bronze, 4
2004, Volleyball, Hungary, bronze, 3
2004, Cycling, Denemark, gold, 5
